epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5304,0.92115,0.4143,0.89418,0.99249,0.99906,0.99477,0.74033,0.97128,0.39661,0.89645,0.00016,0.00016,0.00016
2,49.8469,0.91985,0.40925,0.89237,0.99276,0.99953,0.99488,0.73804,0.98156,0.39251,0.90458,0.00030634,0.00030634,0.00030634
3,51.9404,0.91814,0.40332,0.8936,0.99272,0.99953,0.99488,0.73738,0.96729,0.39138,0.9008,0.00041704,0.00041704,0.00041704
4,54.0307,0.9195,0.40576,0.896,0.99237,0.99906,0.99491,0.74543,0.95998,0.39015,0.89531,0.0004921,0.0004921,0.0004921
5,56.2246,0.90328,0.39955,0.87991,0.99296,0.99819,0.99492,0.74792,0.95489,0.39111,0.89517,0.00053152,0.00053152,0.00053152
6,58.6365,0.90339,0.40297,0.88506,0.99267,0.99811,0.99491,0.74078,0.96951,0.39486,0.89712,0.0005353,0.0005353,0.0005353
7,60.6444,0.89573,0.39717,0.8813,0.99203,0.99861,0.99493,0.7389,0.95257,0.38679,0.89331,0.00050344,0.00050344,0.00050344
8,62.5654,0.90177,0.3967,0.87525,0.99281,0.99811,0.99487,0.74304,0.95805,0.38207,0.89535,0.00043594,0.00043594,0.00043594
9,64.5344,0.89241,0.39301,0.88881,0.9917,0.99858,0.99489,0.74515,0.94894,0.38946,0.89482,0.0003328,0.0003328,0.0003328
10,66.5116,0.8829,0.38322,0.88341,0.99295,0.99713,0.99489,0.74704,0.94332,0.38314,0.89251,0.00019402,0.00019402,0.00019402
