epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.5022,2.22446,3.50528,1.46461,0.163,0.92351,0.21511,0.12345,1.42699,3.21857,1.02697,0.00016,0.00016,0.00016
2,10.1533,1.46893,2.12958,1.00016,0.16925,0.95892,0.79727,0.48828,1.32235,2.78167,0.97849,0.000336634,0.000336634,0.000336634
3,13.0734,1.44201,1.15382,0.96971,1,0.65311,0.92321,0.47517,1.53009,2.35807,1.0167,0.000509704,0.000509704,0.000509704
4,15.8736,1.37198,0.92348,0.96706,0.99942,0.81817,0.94833,0.55835,1.39504,1.83187,0.96941,0.00067921,0.00067921,0.00067921
5,18.7403,1.29501,0.80028,0.96077,0.94212,0.92682,0.97055,0.60846,1.28679,1.21228,0.95926,0.000845152,0.000845152,0.000845152
6,21.6975,1.31994,0.7691,0.96079,0.99381,0.98517,0.9942,0.61097,1.36894,0.84996,1.00556,0.00100753,0.00100753,0.00100753
7,24.4849,1.27893,0.70688,0.96053,0.99486,0.98442,0.99436,0.66303,1.25767,0.70221,0.98958,0.00116634,0.00116634,0.00116634
8,27.2878,1.23704,0.69393,0.95094,0.9876,0.9915,0.99324,0.65474,1.2371,0.65858,0.98395,0.00132159,0.00132159,0.00132159
9,29.7543,1.25152,0.68709,0.95364,0.99091,0.99245,0.99419,0.64784,1.22642,0.66834,0.97494,0.00147328,0.00147328,0.00147328
10,32.303,1.20344,0.64031,0.93983,0.99105,0.9936,0.99477,0.66065,1.2259,0.61677,0.98343,0.0016214,0.0016214,0.0016214
11,34.8352,1.24012,0.64261,0.934,0.99283,0.99245,0.99479,0.6589,1.20073,0.62845,0.97438,0.00176596,0.00176596,0.00176596
12,37.6583,1.17811,0.62089,0.92072,0.99385,0.99528,0.99485,0.67438,1.17011,0.59588,0.95988,0.0017822,0.0017822,0.0017822
13,40.4131,1.18334,0.62326,0.93581,0.99152,0.99379,0.99432,0.6848,1.1203,0.60323,0.94266,0.0017624,0.0017624,0.0017624
14,43.0034,1.16129,0.60788,0.91826,0.98876,0.99292,0.99415,0.65963,1.21253,0.6383,0.96547,0.0017426,0.0017426,0.0017426
15,45.8396,1.15141,0.61544,0.92957,0.99236,0.99386,0.99487,0.71341,1.06045,0.60165,0.92773,0.0017228,0.0017228,0.0017228
16,48.6264,1.11944,0.5995,0.92757,0.99104,0.99263,0.99364,0.6864,1.11356,0.6013,0.94039,0.001703,0.001703,0.001703
17,51.3751,1.16586,0.59671,0.92477,0.99241,0.99339,0.99294,0.67178,1.18438,0.61007,0.96272,0.0016832,0.0016832,0.0016832
18,53.8736,1.22975,0.59974,0.94453,0.99363,0.99622,0.99366,0.71706,1.03572,0.57389,0.92165,0.0016634,0.0016634,0.0016634
19,56.3541,1.19809,0.58497,0.94096,0.99106,0.99456,0.9937,0.67819,1.19055,0.60411,0.98154,0.0016436,0.0016436,0.0016436
20,58.9263,1.13558,0.57027,0.92327,0.99316,0.99528,0.99487,0.68975,1.14575,0.57774,0.96247,0.0016238,0.0016238,0.0016238
21,61.4228,1.15709,0.57099,0.9364,0.99496,0.9915,0.99468,0.68626,1.13182,0.57182,0.95478,0.001604,0.001604,0.001604
22,63.9673,1.16136,0.57608,0.93347,0.99421,0.99292,0.99437,0.67793,1.18228,0.58631,0.95407,0.0015842,0.0015842,0.0015842
23,66.5133,1.14472,0.57765,0.93764,0.99305,0.99481,0.99341,0.70787,1.06116,0.59522,0.92391,0.0015644,0.0015644,0.0015644
24,69.4544,1.10369,0.55133,0.91309,0.992,0.99528,0.99344,0.71316,1.0343,0.55289,0.91395,0.0015446,0.0015446,0.0015446
25,72.203,1.09118,0.54532,0.91356,0.99117,0.99669,0.99455,0.71223,1.06271,0.51266,0.92145,0.0015248,0.0015248,0.0015248
